"Date","Price","Open","High","Low","Vol.","Change %"
"2021-01-12","1.2708","1.2782","1.2793","1.2706","84.37K","-0.59%"
"2021-01-11","1.2783","1.2691","1.2837","1.2690","86.25K","0.79%"
"2021-01-08","1.2683","1.2691","1.2744","1.2656","98.30K","-0.03%"
"2021-01-07","1.2687","1.2677","1.2735","1.2661","89.68K","0.10%"
"2021-01-06","1.2674","1.2666","1.2724","1.2628","116.16K","0.03%"
"2021-01-05","1.2670","1.2777","1.2793","1.2654","98.58K","-0.84%"
"2021-01-04","1.2777","1.2725","1.2799","1.2663","93.52K","0.39%"
"2021-01-01","1.2727","1.2734","1.2738","1.2723","","-0.02%"
"2020-12-31","1.2730","1.2760","1.2770","1.2712","72.72K","-0.22%"
"2020-12-30","1.2758","1.2818","1.2828","1.2747","68.51K","-0.46%"
"2020-12-29","1.2817","1.2850","1.2860","1.2777","72.79K","-0.22%"
"2020-12-28","1.2845","1.2867","1.2878","1.2812","69.10K","-0.19%"
"2020-12-25","1.2869","1.2875","1.2876","1.2852","1.39K","-0.03%"
"2020-12-24","1.2873","1.2845","1.2881","1.2811","68.81K","0.22%"
"2020-12-23","1.2845","1.2908","1.2916","1.2831","79.90K","-0.48%"
"2020-12-22","1.2907","1.2854","1.2935","1.2841","82.77K","0.41%"
"2020-12-21","1.2854","1.2782","1.2958","1.2781","85.26K","0.56%"
"2020-12-18","1.2783","1.2721","1.2800","1.2714","87.81K","0.50%"
"2020-12-17","1.2719","1.2748","1.2752","1.2686","67.94K","-0.18%"
"2020-12-16","1.2742","1.2703","1.2790","1.2694","70.88K","0.35%"
"2020-12-15","1.2697","1.2766","1.2773","1.2686","71.72K","-0.49%"
"2020-12-14","1.2760","1.2773","1.2791","1.2718","58.36K","-0.09%"
"2020-12-11","1.2772","1.2743","1.2793","1.2717","77.23K","0.27%"
"2020-12-10","1.2737","1.2817","1.2831","1.2704","82.02K","-0.60%"
"2020-12-09","1.2814","1.2818","1.2835","1.2767","79.12K","0.00%"
